Variable,Units,Description
fixedse.post_monopile_tower.cylinder_Myy,N*m,
fixedse.post_monopile_tower.cylinder_Mzz,N*m,
fixedse.post_monopile_tower.qdyn,Pa,
tcc.main_bearing_mass,kg,
tcc.bearing_mass_cost_coeff,USD/kg,
tcc.bedplate_mass,kg,
tcc.bedplate_mass_cost_coeff,USD/kg,
tcc.blade_mass,kg,
tcc.blade_mass_cost_coeff,USD/kg,
tcc.blade_cost_external,USD,
tcc.brake_mass,kg,
tcc.brake_mass_cost_coeff,USD/kg,
tcc.machine_rating,kW,
tcc.controls_machine_rating_cost_coeff,USD/kW,
tcc.converter_mass,kg,
tcc.converter_mass_cost_coeff,USD/kg,
tcc.cover_mass,kg,
tcc.cover_mass_cost_coeff,USD/kg,
tcc.elec_connec_machine_rating_cost_coeff,USD/kW,
tcc.gearbox_mass,kg,
tcc.gearbox_torque_density,N*m/kg,"In 2024, modern 5-7MW gearboxes are able to reach 200 Nm/kg"
tcc.gearbox_torque_cost,USD/kN/m,"In 2024, modern 5-7MW gearboxes cost approx $50/kNm"
tcc.generator_mass,kg,
tcc.generator_mass_cost_coeff,USD/kg,
tcc.generator_cost_external,USD,
tcc.hss_mass,kg,
tcc.hss_mass_cost_coeff,USD/kg,
tcc.hub_cost,USD,
tcc.hub_mass,kg,
tcc.pitch_system_cost,USD,
tcc.pitch_system_mass,kg,
tcc.spinner_cost,USD,
tcc.spinner_mass,kg,
tcc.hub_assemblyCostMultiplier,,
tcc.hub_overheadCostMultiplier,,
tcc.hub_profitMultiplier,,
tcc.hub_transportMultiplier,,
tcc.hub_mass_cost_coeff,USD/kg,
tcc.hvac_mass,kg,
tcc.hvac_mass_cost_coeff,USD/kg,
tcc.lss_mass,kg,
tcc.lss_mass_cost_coeff,USD/kg,
tcc.lss_cost,USD,
tcc.main_bearing_cost,USD,
tcc.gearbox_cost,USD,
tcc.hss_cost,USD,
tcc.brake_cost,USD,
tcc.generator_cost,USD,
tcc.bedplate_cost,USD,
tcc.yaw_system_cost,USD,
tcc.yaw_mass,kg,
tcc.converter_cost,USD,
tcc.hvac_cost,USD,
tcc.cover_cost,USD,
tcc.elec_cost,USD,
tcc.controls_cost,USD,
tcc.platforms_mass,kg,
tcc.platforms_cost,USD,
tcc.transformer_cost,USD,
tcc.transformer_mass,kg,
tcc.nacelle_assemblyCostMultiplier,,
tcc.nacelle_overheadCostMultiplier,,
tcc.nacelle_profitMultiplier,,
tcc.nacelle_transportMultiplier,,
tcc.main_bearing_number,n/a,
tcc.blade_cost,USD,
tcc.rotor_cost,USD,
tcc.rotor_mass_tcc,kg,
tcc.nacelle_cost,USD,
tcc.nacelle_mass_tcc,kg,
tcc.tower_cost,USD,
tcc.tower_mass,kg,
tcc.turbine_cost,USD,
tcc.turbine_cost_kW,USD/kW,
tcc.turbine_mass_tcc,kg,
tcc.pitch_system_mass_cost_coeff,USD/kg,
tcc.platforms_mass_cost_coeff,USD/kg,
tcc.crane_cost,USD,
tcc.crane,n/a,
tcc.hub_system_cost,USD,
tcc.hub_system_mass_tcc,kg,
tcc.blade_number,n/a,
tcc.spinner_mass_cost_coeff,USD/kg,
tcc.tower_parts_cost,USD,
tcc.tower_assemblyCostMultiplier,,
tcc.tower_overheadCostMultiplier,,
tcc.tower_profitMultiplier,,
tcc.tower_transportMultiplier,,
tcc.tower_mass_cost_coeff,USD/kg,
tcc.tower_cost_external,USD,
tcc.transformer_mass_cost_coeff,USD/kg,
tcc.turbine_assemblyCostMultiplier,,
tcc.turbine_overheadCostMultiplier,,
tcc.turbine_profitMultiplier,,
tcc.turbine_transportMultiplier,,
tcc.yaw_mass_cost_coeff,USD/kg,
tcons.rated_Omega,rpm,rotor rotation speed at rated
tcons.tower_freq,Hz,
tcons.blade_number,n/a,
tcons.tip_deflection,m,
tcons.Rtip,m,
tcons.ref_axis_blade,m,
tcons.precone,deg,
tcons.tilt,deg,
tcons.overhang,m,
